Year,18-34,35-49,50-64,65+
1973,36.87,40.82,40.75,42.86
1974,41.23,39.62,47.33,49.26
1976,38.73,41.73,44.7,48.55
1977,40.76,37.93,43.76,56.44
1980,40.84,38.47,43.68,46.83
1982,41.9,41.32,45.43,53.95
1984,38.45,34.26,44.8,48.45
1985,36.52,34.7,38.05,51.53
1987,38.61,31.17,40.11,43.27
1988,33.05,30.58,43.55,55.42
1989,37.26,33.05,43.79,45.01
1990,34.32,35.44,47.81,41.6
1991,40.54,37.92,42.48,50.33
1993,39.72,32.96,45.81,52.63
1994,44.87,40.4,47.67,49.21
1996,39.07,40.73,37.82,48.01
1998,39.08,34.82,36.34,46.94
2000,36.04,35.4,37.91,39.87
2002,28.01,26.72,33.81,38.47
2004,32.62,30.38,25.31,37.64
2006,37.52,31.06,31.73,37.44
2008,37.94,25.88,33.66,33.55
2010,38.16,29.22,29.47,31.21
2012,35.23,30.68,32.71,32.76
2014,31.61,26.74,28.9,33.87
2016,34.85,31.32,25.52,30.0
2018,34.61,30.9,34.91,28.11
2021,45.47,34.76,31.77,29.92
2022,42.84,35.53,34.24,32.75
